barcode,vc1,s61_vc12,s40_vc16,s41_vc16,vc66_iv1,vc67_iv1,vc1_iv1,vc10_iv1,vc11_iv1,vc12_iv1,vc13_iv1,vc14_iv1,vc15_iv1,vc16_iv1,vc17_iv1,vc18_iv1,vc19_iv1,vc2_iv1,vc20_iv1,vc21_iv1,vc22_iv1,vc23_iv1,vc24_iv1,vc25_iv1,vc26_iv1,vc27_iv1,vc28_iv1,vc29_iv1,vc3_iv1,vc30_iv1,vc31_iv1,vc32_iv1,vc33_iv1,vc36_iv1,vc37_iv1,vc38_iv1,vc39_iv1,vc4_iv1,vc40_iv1,vc41_iv1,vc42_iv1,vc43_iv1,vc44_iv1,vc45_iv1,vc46_iv1,vc47_iv1,vc48_iv1,vc49_iv1,vc5_iv1,vc50_iv1,vc51_iv1,vc52_iv1,vc53_iv1,vc54_iv1,vc55_iv1,vc56_iv1,vc57_iv1,vc58_iv1,vc59_iv1,vc6_iv1,vc60_iv1,vc61_iv1,vc62_iv1,vc63_iv1,vc64_iv1,vc65_iv1,vc7_iv1,vc8_iv1,vc9_iv1,s34_vc5,s35_vc5,s36_vc5,s37_vc5,s38_vc5,s39_vc5,s40_vc5,s41_vc5,s42_vc5,s43_vc5,s44_vc5,s45_vc5,s46_vc5,s47_vc5,s48_vc5,s49_vc5,s50_vc5,s51_vc5,s52_vc5,s53_vc5,s54_vc5,s55_vc5,s56_vc5,s57_vc5,s58_vc5,s59_vc5,s60_vc5,s61_vc5,s62_vc5,s63_vc5,s64_vc5,s65_vc6,s66_vc6,s67_vc6,s68_vc6,s69_vc6,s70_vc6,s71_vc6,s72_vc6,s73_vc6,s74_vc6,s75_vc6,s76_vc6,s77_vc6,s78_vc6,s79_vc6,s80_vc6,s81_vc6,s82_vc6,s83_vc6,s84_vc6,s85_vc6,s86_vc6,s87_vc6,s88_vc6,s89_vc6,s90_vc6,s91_vc6,s92_vc6,s93_vc6,s94_vc6,s95_vc6,s96_vc6,s97_vc6,s98_vc6,s99_vc6,s100_vc6,s101_vc6,s102_vc6,s103_vc6,s104_vc6,s105_vc6,s106_vc6,s107_vc6,s108_vc6,s109_vc6,s110_vc6,s111_vc6,s112_vc6,s113_vc6,s114_vc6,s115_vc6,s116_vc6,s117_vc6,s118_vc6,s119_vc6,s120_vc6,s121_vc6,s122_vc6,s123_vc6,s124_vc6,s125_vc6,s126_vc6,s127_vc6,s128_vc6,s1_vc09,s10_vc09,s11_vc09,s12_vc09,s13_vc09,s14_vc09,s15_vc09,s16_vc09,s17_vc09,s18_vc09,s19_vc09,s2_vc09,s20_vc09,s21_vc09,s22_vc09,s23_vc09,s24_vc09,s25_vc09,s26_vc09,s27_vc09,s28_vc09,s29_vc09,s3_vc09,s30_vc09,s4_vc09,s5_vc09,s6_vc09,s7_vc09,s8_vc09,s9_vc09,s1_vc13,s10_vc13,s11_vc13,s12_vc13,s13_vc13,s14_vc13,s15_vc13,s16_vc13,s17_vc13,s18_vc13,s19_vc13,s2_vc13,s20_vc13,s21_vc13,s22_vc13,s23_vc13,s24_vc13,s25_vc13,s26_vc13,s27_vc13,s28_vc13,s29_vc13,s3_vc13,s30_vc13,s31_vc13,s32_vc13,s33_vc13,s34_vc13,s35_vc13,s36_vc13,s37_vc13,s38_vc13,s39_vc13,s4_vc13,s40_vc13,s41_vc13,s42_vc13,s43_vc13,s44_vc13,s45_vc13,s5_vc13,s6_vc13,s7_vc13,s8_vc13,s9_vc13,s1_vc17,s10_vc17,s11_vc17,s12_vc17,s13_vc17,s14_vc17,s15_vc17,s16_vc17,s17_vc17,s18_vc17,s19_vc17,s2_vc17,s20_vc17,s21_vc17,s22_vc17,s23_vc17,s24_vc17,s25_vc17,s26_vc17,s27_vc17,s28_vc17,s29_vc17,s3_vc17,s30_vc17,s31_vc17,s32_vc17,s33_vc17,s34_vc17,s35_vc17,s36_vc17,s37_vc17,s38_vc17,s39_vc17,s4_vc17,s40_vc17,s41_vc17,s42_vc17,s5_vc17,s6_vc17,s7_vc17,s8_vc17,s9_vc17
lm11 mapping,1738,9090,2190,3872,3397,4469,270,1932,400,237,10,119,3667,368,1574,13,493,4830,2037,4641,1236,134,70,134,2098,2498,4340,54,93,3274,2853,315,924,1304,2,1614,11,4658,0,10,916,2,41,6,12,1661,8,1591,160,7,152,1815,1257,5,14,0,258,1855,80,3625,6091,5,117,3841,17,127,8461,171,4477,1466,0,0,3,9,8,5,9,1,0,0,2161,5069,12021,4702,3880,0,0,0,3,3,3,7,6,288,0,0,1953,1,3,10,1363,644,13383,4874,933,7074,3,1,792,34772,2182,3561,3762,6369,1647,1789,7077,9696,3,114,2,5,0,1,15,430,13,292377,8,11,5,2,18,168667,6,186,10,7,3,4,18,249,10,143,4150,799,2,497,37,175775,5,940,14,86,62,37,12483,2902,1277,3262,1988,1324,1394,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730,5254,6425,2092,4200,1703,5151,0,5641,0,0,0,0,0,0,345,101,0,15449,3834,6892,2964,4945,117,3255,12217,0,2111,6835,8165,4249,6399,0,33,111,40,2343,0,9644,5974,11225,0,0,496,0,48023,0,0,65,770,0,99,889,997,3312,22,1472,64768,211,1847,0,0,910,0,4732,0,92,0,2796,2461,7540,0,5629,7852,0,0,0,0,3228,32497,10663,10810,0,0,0,0,41,0,0,0,0,0,0,14,0,0,5034,0,0,0,0,0
lm12 mapping,1355,6268,2498,953,3107,2919,345,721,123,149,299,1406,6959,1897,1517,11691,534,17,2222,958,3258,169,164,105,1423,591,1020,815,331,286,1510,218,804,1450,3,737,19189,5781,5,4,27,3,9,8,14224,6343,3069,77,1280,1795,264,5138,2989,9,6,1,8,453,4,4777,2001,203,11,24,6,0,126,143,3572,996,0,0,1,2,9,2,10,69552,0,0,1477,2577,13034,3652,2078,21,0,0,0,0,3833,2,4,160,0,0,0,509,12,3,6,406,7900,2635,2987,7802,31,4,14,2210,10452,5855,1484,3947,9347,4552,2358,8792,9,4,3,510,4,1,8,37429,14,8,3,8,13,1,3,23,11,6,2,6,5,1,4,4691,21,4,943,551,4,176,2,22,8,239,2,94,13,4,3536,31,1048,1440,1601,1165,1660,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2231,2636,2105,1532,2824,0,3871,0,3823,0,0,0,0,0,0,133,0,0,264,7856,4646,761,1950,1353,2643,0,0,1131,13698,6396,2653,1964,0,37,57,0,13057,0,7257,2977,4758,0,0,18996,0,29593,1027,20859,74,0,0,0,20514,0,2297,13,0,34,5,338,0,0,2458,0,1573,31101,0,0,0,4772,3262,0,2796,1918,0,0,0,0,17844,9336,0,10417,0,0,1733,0,0,0,1702,0,0,0,942,0,0,0,2761,0,0,0,0,0
lm13 mapping,172,1577,68,1631,555,785,9,0,0,4,0,0,106,297,155,2,11,0,82,269,0,34,21,78,595,86,1847,4,0,51,830,218,221,7,0,0,0,53,0,0,0,0,2,0,0,84,0,1,0,2,0,7,0,0,139,0,1,284,0,22,2017,0,17,1,0,0,0,0,60,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,1,33,0,0,0,0,0,0,0,169,0,0,1642,364,2,0,0,141,0,0,620,529,2,1,109,872,0,0,0,27,1,0,0,1,0,0,2,1,1,0,0,4,0,0,1,2,0,0,0,1,0,0,4,2,1,0,0,0,0,0,1,139,0,0,0,1616,0,0,357,620,668,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,221,721,0,1074,0,0,0,1758,0,0,0,0,0,0,0,0,0,0,0,770,2001,572,0,219,20,0,102,0,584,3927,345,0,0,2,0,0,29,648,5624,1010,0,0,182,14,0,0,0,0,0,4,0,861,36,455,0,0,1,0,0,0,0,0,0,534,0,0,0,0,775,0,0,1975,401,0,0,0,0,11135,0,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0
lm14 mapping,1021,5450,1363,2040,2102,2802,1028,1,1093,144,7,148,953,122,511,2,132,80,604,582,95,47,0,6,2095,1347,1286,34,101,175,2169,96,2194,2393,1,3849,3,4072,16,8,2,7,20,10,30,4508,6,1936,2332,6,1075,7370,1758,2494,1,0,14,346,3,3392,2086,10,88,9,2,0,87,80,2273,1035,2,0,1,173253,6,4,6,1,0,0,0,67,9461,4460,2710,0,0,0,0,29,1,830,51,19,0,0,0,1467,4,4,3,298,7,2,6913,3363,46,153,325,578,3501,2365,5314,2953,4529,1665,4722,5366,1,2,2,158,2,4,9,3,6,5,9,3,7,3,7,2,3,4,6,7,5,4,5,5,3,4,17,223,3,666,5,6,7,485,7,88,6,1,2293,3,1260,1019,1652,2795,1385,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,0,3814,1465,1773,3590,1348,0,1001,0,0,0,0,0,0,367,61,1547,0,3961,8910,4399,2019,3784,5533,156,167,666,5086,4364,7800,4456,0,85,0,0,3721,0,16218,5827,3779,134,0,4,0,0,888,0,701,67,0,59395,0,364,2274,0,240,3,3,0,0,0,0,0,2041,0,0,0,0,6610,6429,0,6794,3436,0,0,0,0,4528,7380,7152,3648,0,0,0,0,11989,0,0,0,0,0,0,0,0,0,3063,0,0,0,0,0
lm15 mapping,409,2276,0,355,1067,1147,22077,2157,638,5,3,7,141,0,18,5,99,10,128,135,235,15,0,17,35,83,10,2,97467,3,0,0,8,5,1,2,0,4845,0,21,3,147,3,3,7,902,2,187,303,4,268,392,1360,5,2,0,41,3023,1529,1170,8,106,887,2,0,10966,51,67,3296,476,0,0,0,2,3,0,0,0,0,0,0,2080,7,219,2,4,0,0,0,1,5523,0,0,261,0,0,0,2,9,0,4,883,11084,0,2,1382,40,0,18,105,41,539,436,1480,17412,183,799,1670,3,0,2,0,5,1,6658,2,8,0,2,2,10,0,15,2,3,0,2,2,14,0,11,1,7,0,1432,0,12,271,3,2,7,166,2,4,336,0,4030,1,130,0,370,636,7,152,0,0,0,0,0,0,0,19866,0,0,0,0,0,0,0,960,908,452,454,3136,0,528,0,1285,0,0,0,0,0,0,38,0,0,466,548,255,1588,2315,163,223,0,0,1669,1732,0,5427,5689,0,0,0,0,1370,0,493,4318,4016,184,0,0,0,0,0,0,306,78,2,0,77,411,1144,0,0,9,0,1,0,0,0,0,752,0,0,0,0,1336,0,0,379,956,0,0,0,0,1940,0,1028,945,0,0,0,0,0,0,0,0,0,0,0,557,0,0,1114,0,0,0,0,0
lm16 mapping,760,2797,497,6157,1411,1972,196,761,2,24,3,4250,1006,30,199,3,140,1242,426,540,92,229,0,2,365,183,2325,2595,1,36,1069,81,236,876,4,270,3,2859,38,1,1395,0,3,6,10,795,0,1177,96,0,259,1775,2,6,3,0,5,10,1,2583,15,0,9,8,10,0,4150,20,2075,862,0,0,1,1,1,0,0,0,0,0,3057,6742,1,2062,1307,0,0,0,0,3,893,0,3,1,0,0,0,4,2,92,2,1100,0,2269,2,744,2,557,237,134,58,3230,1039,496,3823,1613,1801,1260,0,5,0,0,3,2,2,6,0,3201,2,2,3,6,0,3,0,9,2,3,4,3,2,5,0,7,262,2486,1,297,1,12,0,1886,4,9,151,3,24,3469,476,1276,757,747,3,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2627,0,5577,689,3463,0,1883,0,197,0,0,88875,0,0,0,56,0,0,68,636,4195,233,3657,11,1298,0,7,1337,664,4721,531,5601,0,0,2,36,2180,0,7071,513,6991,0,24,0,34,0,1816,0,280,256,0,348,143,652,1130,5,113,0,0,124,0,0,18947,0,8729,0,12496,0,0,1552,338,0,5895,2351,0,0,0,484,0,4841,0,14980,0,0,0,0,0,0,0,0,0,0,0,604,0,0,2216,0,0,0,0,0
lm17 mapping,612,5121,749,482,1773,1269,16,3,2078,54,2,124,1872,268,847,1,314,2,844,134,1171,40,72,54,993,129,559,65,12,94,1145,268,212,21,2,0,2,728,0,0,0,7,1,0,5,112,8,0,21,0,4,1,2297,1,0,0,0,46,443,1446,1,6,1,4,0,54,1,15,220,655,0,0,0,0,0,2,3,0,0,0,0,0,0,1675,2094,0,0,0,0,0,0,0,66,227,0,0,0,0,0,2,2,2,0,1837,8,726,8,6,3,132,2,1882,1884,1009,29,1558,2363,1080,0,7,2,201,8,7,2,10,2,13908,7,4,13,9,2,1,1,14,1,626,6,8,3,0,1,4,5,741,16,115,5,0,2,14,6438,2,13709,7418,1,27,692,2463,69,910,252,324,0,0,0,0,0,0,0,0,0,0,43218,0,0,0,0,896,443,2416,1660,4061,0,3290,0,4598,0,0,0,0,0,0,0,0,0,2665,1927,2707,5335,2371,171,1151,112,46,381,2913,1521,8941,4033,0,0,0,17,2912,1237,4185,5650,5107,26,0,14,12,0,518,2,2034,0,4,0,272,167,1768,2,291,18,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1327,2756,0,0,0,0,0,5652,0,6570,0,0,0,0,0,0,0,0,0,0,0,5528,0,0,1956,0,0,0,0,0
lm18 mapping,839,4018,270,2706,1337,1267,107,713,240,1659,345,3,2630,572,1403,0,873,263,1465,3020,381,58,26,60,2234,752,2300,28,5,485,3927,135,300,12,0,2,7,4928,0,5,1241,1,13,6,4,1294,0,561,602,6,108,2613,894,0,4,0,5,1550,747,1291,772,14,15,8,8,142,62,102,2725,817,2,2,26,4,20,64,18,57,2,2,23,4,6178,1634,972,41,0,1,16,2,10,810,12,231,1,2,10,439,23,72,3,83,1,1,1155,639,0,1,8,80,0,4934,2075,928,0,1814,3075,1426,0,3,3,0,0,0,7,8,0,4,3,2,0,2,5,2,0,4,3,1,0,2,5,2,0,2,356,1,0,1318,10,0,3,1,7,197,64,3,4436,1050,422,396,1117,500,0,304,0,0,0,0,56440,0,0,0,0,0,0,0,0,0,0,1441,1588,3313,1296,5802,3868,4032,0,78,0,0,0,0,0,0,44,0,10,0,6299,8629,2867,8241,0,4988,734747,91,3175,6065,0,1753,6125,0,280,609,917,7152,0,11014,10224,16961,1158,0,4214,266168,0,0,0,0,0,0,0,2836,331507,1370,8,1614,14,64,201,0,0,0,0,227,0,0,0,0,4,1869,0,3048,3700,0,0,0,14989,14352,2340,812,8472,0,0,0,0,0,0,0,0,0,0,632,960,0,0,1690,0,0,0,0,0
lm19 mapping,143,1644,0,2265,351,566,0,0,0,12,0,98,212,0,147,0,123,0,199,0,0,1,0,0,25,0,5,0,0,6,102,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,202,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3584,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4523,216,0,0,88,32,0,793,2613,146,0,1615,1686,455,0,0,1,0,0,0,1,0,0,0,1,1,0,2,2,0,0,0,4,0,0,1,0,0,0,0,8,1,0,105,1,0,0,0,4,2,0,1,1,0,0,1,4,842,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018,394,1840,218,623,2823,779,0,0,0,0,0,0,0,0,0,277,0,0,0,1576,136,0,0,729,0,44,0,0,1686,3,0,0,2,3,0,0,0,2191,168,0,0,0,0,0,0,537,0,0,1,0,0,0,0,249,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,19,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841,0,0,0,0,0
lm20 mapping,295,1449,350,1454,478,739,31,0,0,206,3,3,101,5,1,0,0,2,0,46,73,0,0,0,0,1,0,2,30,0,0,0,1,0,3,1,0,354,0,1,0,0,0,3,1,1,0,0,15,0,0,1,1302,3,0,0,0,0,0,1164,0,8,0,1,0,0,0,4,369,287,0,0,0,0,0,0,1,1,0,0,129,0,0,0,541,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,594,2,1,3,1,0,2679,242,397,0,431,2337,47,0,12,0,1,0,1,0,0,1,14,0,0,0,1,0,0,0,8,1,2,0,0,0,0,1,7,226,208,0,1,0,4,1,7447,1,0,0,0,5,0,485,308,418,58,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,634,2509,696,625,0,0,0,561,0,0,0,0,0,0,30,0,0,24,744,0,3382,1574,44,0,0,0,662,1943,0,3407,2827,8,0,26,2,727,0,0,4348,2895,0,0,0,0,0,0,0,22,142,0,0,828,133,314,2,0,15,0,2,0,0,0,0,0,0,0,9956,0,921,0,0,1048,0,0,0,0,0,0,0,25723,0,0,0,0,2832,0,0,0,0,0,0,0,0,0,0,623,0,0,0,0,0
lm21 mapping,157,474,0,733,206,632,14,0,314,60,0,0,894,23,307,0,63,229,396,29,110,0,0,2,29,0,8,0,0,1,0,0,0,291,0,1005,1,1004,0,0,0,0,1,0,0,2,0,0,21,0,1,0,0,1,0,0,1,207,460,329,76,0,0,3,28,61,1,22,869,145,0,0,0,1,0,0,0,0,0,0,0,3626,0,908,0,1,0,0,0,0,0,1,0,430,0,0,0,1,0,0,0,1,0,1,0,698,1,0,0,54,0,287,2,1602,1,1200,0,723,0,0,0,1,1,0,0,1,0,0,0,3,0,0,0,1,0,0,2,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,2,2,0,0,0,0,0,622,1,619,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777,511,1,493,0,0,0,0,1459,0,0,0,0,0,0,0,0,0,0,2157,1223,0,301,348,560,0,12,200,4970,564,0,884,53,0,0,120,6671,0,1545,0,1580,0,0,0,0,4596,0,0,5,52,0,0,0,56,203,4,82,0,0,0,0,0,0,0,0,0,0,0,0,1112,534,0,0,0,0,0,0,0,0,7520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,1,0,0,0,65
lm22 mapping,1090,7091,875,5157,2136,3072,80,61,312,63,4,1,1313,3,665,5,155,129,352,349,315,45,0,2555,1095,760,1546,4,137,158,1204,135,1283,6,0,1,6,3010,0,5,1,24,28,3,16,1907,1,1589,76,1,14451,1093,1007,2,9,0,2798,1963,270,2479,859,3,67,517,12,162,133,53,1414,1129,2,62254,1,1,10,11,25,9,1,26,1,7,4061,2481,348,14,4,8,0,1,4,10,7,370,2,10,3,2,17,7,2,247,0,0,3558,5867,3,2,99,1387,1,545,3004,3983,36,232,4322,7558,0,0,4,1550,2,1,3,7,2,2,7,9,4,0,1,1,2,1,5,7,2,0,1,4,1,1,705,3505,3,219,5,4,0,0,6,9,2988,0,6,12,496,910,2268,1078,837,570,0,0,0,0,0,0,0,0,0,136233,0,0,0,0,20498,1849,2575,1597,0,6719,588,2086,0,5114,0,0,0,0,0,0,366,0,0,1146,2590,4962,280,3427,172,23089,709,0,1704,4058,6642,562,5835,0,2,0,500,3204,0,5905,967,5538,41,0,1,0,0,1248,0,79,418,0,0,0,430,1886,8,1838,7,56,0,0,0,0,0,2853,179,95,0,2875,6904,1751,0,4984,4868,0,0,0,0,10474,5610,15040,7594,0,0,0,0,0,0,0,0,0,0,0,0,2478,0,3323,0,0,0,0,0
lm23 mapping,904,11116,448,990,2496,2130,753,20,78,22,0,6,1349,37,690,10,246,986,1006,288,2,13,1,102,556,3601,529,4,130,25,381,492,265,229,2,2,20,2048,0,2,21,58,9,1,2,231,0,210,68,1920,364,2,1,6,2657,0,337,17474,44186,4246,722,1196,362,17327,17,294963,80,65,1451,825,153,4,1,0,0,1,0,4,142,9874,0,0,1,1048,2639,3,234,1,0,0,1326,1,6,863,172496,4,1,0,2,0,2,136604,3192,2288,4393,4580,12,2,33,487,6485,2317,3543,2980,6075,1480,1119,3312,4,7,5,1,1,0,3,82,12,9,6,8,6,2,1,44,8,9,11,5,4,2,3414,95,3,5,4633,973,4,0,343,38,10,91,12,167,37,102,3,120,1575,2672,3800,1249,590,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768,977,885,2981,3518,5382,2469,0,5063,0,0,0,0,0,0,0,0,41,55,1739,4894,8764,2652,160,1098,296,0,1012,1111,2609,18732,3583,0,240,0,0,5218,32,6275,13413,6083,176,1923,0,18,0,81,0,43,0,25,1173,546,268,1978,9,460,26,0,0,0,0,0,0,1534,0,0,0,0,2876,1899,0,7093,3740,0,0,0,0,6775,7845,759,7001,0,0,0,0,0,0,0,0,304,0,15,0,0,0,3152,0,0,0,0,0
lm24 mapping,522,3676,133,2851,1372,1431,222,3988,89,149,258,131,6016,723,1677,56,601,9,2790,432,4778,17,0,2,1087,2309,86,3,2,368,933,2,2606,6231,1,4143,7,4151,29,1,7,2,16,1,39,1355,2,9,47,4,20,1193,0,4,3856,0,4,494,4,4105,1431,1,47,14,0,0,865,81,2411,1333,0,0,1,3,0,0,1,2,0,0,2295,4516,0,1935,638,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,5,2,9,0,0,9,8,7,10,6,5776,1,352,8,3279,15,517,4,3,1,0,2,0,7,18979,8,7,2,0,10,2,19,11,11,4,1,1,9,0,40369,12,5,4,1,1,14025,3,69,798,12,4,5,111,6,123,18,5,5925,417,1269,175,1019,551,410,0,0,0,0,0,0,0,25894,0,0,0,0,0,0,815,920,932,782,943,2371,3892,1929,0,2850,0,0,0,216055,0,0,0,0,0,47,4846,2112,1373,1644,34136,424,0,0,538,4418,3157,0,3253,5654,0,5,0,5953,0,1964,2237,3412,0,0,291,0,16603,0,0,419,36032,0,0,992,364,1863,13,0,7,5,106,0,0,0,0,0,0,0,0,40847,3505,3518,0,0,429,0,0,0,0,1150,4688,900,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3275,0,0,0,0,0
lm25 mapping,138,704,0,0,405,156,77,0,45,1,1,1,0,0,0,0,0,231,2,262,0,1,0,1747,195,9,322,2,0,18,259,0,12,1,0,1,0,1282,0,2,0,0,3,0,4,0,0,1,102,0,0,0,1,1,1,0,2,0,0,2165,3,0,2,0,0,0,11,97,1268,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1,0,0,0,494,0,0,0,252,0,245,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,221,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,390,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,61,0,0,0,0,1,1,0,3,0,0,0,1,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1521,933,0,0,0,0,0,0,0,3283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0
lm26 mapping,1255,9456,1757,4514,2688,3239,134,316,5,118,425,48505,4184,2232,1742,4,1339,143,1525,575,801,100,54,2,1914,250,2250,4,3,225,2009,294,608,12,0,27,5,2883,3,5,346,5,48,3,42,2305,2,1344,149,3,454,1886,0,54,280,2,9,578,24,4248,1226,2,68,7,0,27,17,63,1612,1353,0,0,0,1,12,0,11,14,0,0,306,2,15119,2280,5298,20,0,0,0,1,1027,1451,6,12343,0,0,0,328,6,1,0,341,4,4,4955,3922,29,1,17,27346,3152,3198,1070,2845,3757,2159,1994,4648,1,3,5,9475,7,2,6,30,0,4,4,29,20,3,4,22,3,4,4,19,18,0,1,25,1,4,8,103,17,547,2018,23,5,14,7,21580,21083,1,5,4364,434,1990,1516,2014,3160,673,0,0,0,0,0,0,0,0,0,20774,0,0,0,0,0,1909,2462,2604,1564,521,10100,5676,0,1228,0,0,0,0,0,0,51,8,5,37,406,9667,6000,2535,209,10192,0,414,602,3889,9957,11123,5869,0,303,192,0,2633,0,14532,11607,4179,0,0,13487,0,0,881,0,101,191,0,47,28994,240,1662,3,0,39,99,3,0,0,3728,0,2508,0,0,65,1388,4755,4825,0,6939,4306,0,0,0,0,644,21527,6376,4298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4457,0,0,0,0,0
lm27 mapping,143,596,0,827,264,314,18,1,0,0,0,0,0,0,0,0,0,2,1,129,0,26,315,0,382,21,144,5,0,23,520,0,25,1,0,0,0,278,0,1,602,0,0,0,1,13,1,0,0,0,0,0,0,0,0,1,0,28,0,612,0,0,1,0,19,0,0,179,95,118,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,76,0,0,0,560,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,118,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107,0,0,0,55,0,0,36,0,0,0,94,0,0,536,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,1508,0,0,0,570,0,0,0,0,0,0,0,0,1,0,0,0,0,1044,1734,0,0,2279,649,0,0,0,746,2438,10,0,5,4,0,0,55,1199,1822,0,0,97,0,0,0,0,0,0,1,0,0,49,0,239,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,571,0,0,0,0,0,0,0,0,901,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,0,0,0,0,0
lm28 mapping,683,4114,0,1857,1747,2204,2,0,3,1252,302,136,3007,483,884,4,456,4,1276,303,1169,30,1,1,1095,72,1073,155,7,95,1405,68,945,31,0,0,5,1099,0,4,1,4,3,1,3,220,1,196,10,0,3150,577,914,3,477,0,5,1477,11,482,2525,1,289,2936,3,300,24,12,341,588,0,0,0,0,0,0,0,1,0,0,1,2073,0,3055,714,1,0,0,1,0,0,1,473,4,0,0,0,0,0,0,1,152,2625,3,1193,85,2585,33,70,19,5864,1164,1799,88,4038,3103,2602,243,3,3,1,1,3,22,2,0,5,2,3,2,4,42,2,0,5,3,2,5,1,40,1,0,6,2,3,270,3,318,872,0,8,77,4,0,37,69459,3,0,391,348,569,1764,553,406,0,0,0,0,0,0,0,0,0,0,2266,0,0,0,0,2707,1404,1353,143,3478,0,1303,0,1917,0,0,0,0,0,0,0,0,0,22,291,1153,4269,1248,0,668,119,17,279,1144,2654,3280,1785,212,7,85,9,629,19,1588,1387,3205,0,0,0,0,0,291534,33923,0,0,0,0,0,306,912,0,0,23,0,2,0,0,0,0,528,0,0,0,0,2401,828,0,5496,982,0,0,0,0,6765,0,4268,0,0,219343,0,0,0,0,0,0,0,0,0,0,0,0,1988,0,0,0,0,0
lm29 mapping,678,5743,3083,1593,1534,1491,34,4,77,35,99,108,1624,28,1417,1,997,10,1354,256,262,11,0,72,437,493,467,2,122,81,756,103,439,15,0,1,5,1858,0,6,969,3,8,0,6,362,0,3,8,10,12,5,0,1,4,0,4,4875,20,3069,5175,43,79,1907,0,0,8,36,1738,614,0,0,0,0,0,1,3,0,0,0,2213,0,0,2011,2225,1,0,0,2,0,0,0,41,224,0,0,0,0,0,0,4,605,1,3,1428,2953,54,0,13,174,0,2950,3580,4308,163,2370,5601,1994,0,4,4,46,125649,1,8,0,1,2,6,4,89,0,3,0,1,1,5,5,79,1,2,1,0,0,828,658,62,98,7,0,2,558,8,6,221,40,2264,0,563,1696,526,872,324,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835,214,2750,418,696,0,5620,0,216,0,0,0,0,0,0,128,0,0,110,2597,2672,3060,2201,250,913,0,1,910,6310,2579,4028,2594,8,15,3,0,2157,30,3548,5768,4296,0,0,367,0,0,0,2,86,159,0,0,1610,312,1367,3,0,11,0,8,0,0,0,0,1408,0,0,0,0,1758,3374,0,1326,2573,0,0,0,0,496,4126,1034,5469,0,0,0,0,0,0,252,0,0,0,81,0,0,0,1632,0,0,0,0,0
